4/10/2024 9:19:30 AM ==> GenericRepository.cs	Appointment with ID = 0 was not found Line:63	<GetByIdAsync>	GET	f5e5740e-83b4-4943-851f-ac06ba8fdb4b

4/10/2024 9:28:24 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:28:41 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:28:44 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:29:02 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:29:41 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:29:49 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:31:17 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:31:20 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:31:42 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:31:47 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:31:49 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:32:23 AM ==> 	The input is not a valid Base-64 string as it contains a non-base 64 character, more than two padding characters, or an illegal character among the padding characters. Line:0		POST	

4/10/2024 9:32:47 AM ==> 	The input is not a valid Base-64 string as it contains a non-base 64 character, more than two padding characters, or an illegal character among the padding characters. Line:0		POST	

4/10/2024 9:32:57 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:55:22 AM ==> AuthService.cs	Username or password is incorrect! Line:54	<LoginAsync>	POST	

4/10/2024 9:55:24 AM ==> 	The input is not a valid Base-64 string as it contains a non-base 64 character, more than two padding characters, or an illegal character among the padding characters. Line:0		POST	

